numero_controle_pncp,srp,objeto_compra,codigo_modalidade,nome_modalidade,compra_judicial
27080605000196-1-000155/2026,True,Registro de Preços Bem Consumo - Aquisição de Medicamentos - Mandado Judicial,6,Pregão - Eletrônico,True
46374500000194-1-002110/2026,False,Aquisição de medicamentos para atender demandas judiciais.,6,Pregão - Eletrônico,True
46482840000139-1-000193/2026,True,"REGISTRO DE PREÇOS DE MEDICAMENTOS NÃO PADRONIZADOS NA RELAÇÃO MUNICIPAL DE MEDICAMENTOS ESSENCIAIS REMUME, NECESSÁRIOS AO ATENDIMENTO DE PACIENTES AMPARADOS POR DEMANDAS JUDICIAIS",6,Pregão - Eletrônico,True
10839115000128-1-000024/2026,True,"REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS E INSUMOS PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE PETROLINA DE GOIÁS, BEM COMO SENTENÇAS JUDICIAIS.",6,Pregão - Eletrônico,True
08597121000174-1-000025/2026,True,SRP - AQUISIÇÃO DE MEDICAMENTOS PARA ATENDER A DEMANDA JUDICIAL. Protocolo nº 25.088.365-0.,6,Pregão - Eletrônico,True
46374500000194-1-002725/2026,False,"Aquisição de medicamento(s) sem marca específica, não contemplados em ARP para continuidade no atendimento de paciente(s) em cumprimento a determinação judicial.",6,Pregão - Eletrônico,True
51816247000111-1-000236/2026,True,Registro de preços de materiais de enfermagem para atender atenção básica e ordens judiciais.,6,Pregão - Eletrônico,True
18477315000190-1-000010/2026,True,Registro de Preço para eventual e futura aquisição de medicamentos para atender as demandas judiciais para os pacientes do Município de Carlos Chagas.,6,Pregão - Eletrônico,True
46374500000194-1-002254/2026,False,Aquisição de Medicamentos para atender demandas judiciais.,6,Pregão - Eletrônico,True
46374500000194-1-002265/2026,False,Aquisição de Nutrições para atender demandas judiciais.,6,Pregão - Eletrônico,True
