marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
LEBENS,LEBENS,Similar,GERMED FARMACEUTICA LTDA,1,nao
LECTRUM,LECTRUM,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,2,nao
LECZA XR,LECZA XR,Similar,APSEN FARMACEUTICA S/A,4,nao
LEDAR,LEDAR,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
LEDUO,LEDUO,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,5,nao
LEFÉMI,LEFEMI,Similar,EMS S/A,3,nao
LEFLUN,LEFLUN,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
LEFOR,LEFOR,Similar,EMS S/A,8,nao
LEG,LEG,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
LEGALON,LEGALON,Fitoterápico,VIATRIS FARMACEUTICA DO BRASIL LTDA,3,nao
LEGRACE,LEGRACE,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,3,nao
LEMONT,LEMONT,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
LEMTRADA,LEMTRADA,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
LENANGIO,LENANGIO,Similar,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,7,nao
LENAZEN,LENAZEN,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
LENIX,LENIX,Novo,APSEN FARMACEUTICA S/A,3,nao
LENVIMA,LENVIMA,Novo,UNITED MEDICAL LTDA,2,nao
LENZETTO,LENZETTO,Novo,"GEDEON RICHTER DO BRASIL IMPORTADORA, EXPORTADORA E DISTRIBUIDORA S.A.",1,nao
LEPONEX,LEPONEX,Novo,VIATRIS FARMACEUTICA DO BRASIL LTDA,4,nao
LEPS ER,LEPS ER,Similar,TORRENT DO BRASIL LTDA,5,nao
LEQEMBI,LEQEMBI,Biológico,EISAI LABORATÓRIOS LTDA,2,nao
LERAW,LERAW,Similar,CAMBER FARMACEUTICA LTDA,8,nao
LERGIDRIN,LERGIDRIN,Similar,LABORATORIO GLOBO SA,1,nao
LESSAV,LESSAV,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
LESTALGYN,LESTALGYN,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
LESTER,LESTER,Similar,SUPERA FARMA LABORATÓRIOS S.A,2,nao
LETHOZY,LETHOZY,Similar,BLAU FARMACEUTICA S.A.,1,nao
LETYBO,LETYBO,Biológico,GLOBAL REGULATORY PARTNERS BRASIL LTDA,9,nao
LEUCOGEN,LEUCOGEN,Específico,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,6,nao
LEUKERAN,LEUKERAN,Novo,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,1,nao
LEUPHILA,LEUPHILA,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,2,nao
LEUSTATIN,LEUSTATIN,Novo,MAWDSLEYS PHARMACEUTICALS DO BRASIL LTDA,1,nao
LEUX,LEUX,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
LEVAFLOX,LEVAFLOX,Similar,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,1,nao
LEVAMZ,LEVAMZ,Similar,TORRENT DO BRASIL LTDA,6,nao
LEVAQUIN,LEVAQUIN,Similar,JANSSEN-CILAG FARMACEUTICA LTDA,2,nao
LEVEL,LEVEL,Novo,BIOLAB SANUS FARMACEUTICA LTDA,2,nao
LEVEMIR,LEVEMIR,Biológico,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,3,nao
LEVERCTIN,LEVERCTIN,Similar,EMS S/A,2,nao
LEVITRA,LEVITRA,Novo,BAYER S.A.,3,nao
LEVOID,LEVOID,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,18,nao
LEVOLUKAST,LEVOLUKAST,Novo,GLENMARK FARMACÊUTICA LTDA,2,nao
LEVOTAC,LEVOTAC,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,3,nao
LEVOXIN,LEVOXIN,Novo | Similar,APSEN FARMACEUTICA S/A,8,nao
LEVOZINE,LEVOZINE,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,7,nao
LEXAPRO,LEXAPRO,Novo,LUNDBECK BRASIL LTDA,6,nao
LEXIN,LEXIN,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
LEXMA,LEXMA,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
LEXOTAN,LEXOTAN,Novo,MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA,2,nao
"LFM-BROMEXINA 0,08%",LFM BROMEXINA 0 08,Similar,LABORATÓRIO FARMACÊUTICO DA MARINHA,1,nao
LFM-LEFLUNOMIDA,LFM LEFLUNOMIDA,Similar,LABORATÓRIO FARMACÊUTICO DA MARINHA,2,nao
LFM - OFLOXACINO,LFM OFLOXACINO,Similar,LABORATÓRIO FARMACÊUTICO DA MARINHA,2,nao
LFM-PARACETAMOL,LFM PARACETAMOL,Similar,LABORATÓRIO FARMACÊUTICO DA MARINHA,1,nao
LFM - PIRAZINAMIDA,LFM PIRAZINAMIDA,Similar,LABORATÓRIO FARMACÊUTICO DA MARINHA,3,nao
LFM ZIPRASIDONA,LFM ZIPRASIDONA,Similar,LABORATÓRIO FARMACÊUTICO DA MARINHA,2,nao
LIBERAFLUX,LIBERAFLUX,Fitoterápico,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
LIBERFEM,LIBERFEM,Similar,ADIUM S.A.,2,nao
LIBIAM,LIBIAM,Novo | Similar,LIBBS FARMACÊUTICA LTDA,4,nao
LIBTAYO,LIBTAYO,Biológico,ADIUM S.A.,1,nao
LIDE,LIDE,Similar,BIOLAB SANUS FARMACEUTICA LTDA,3,nao
LIDEXOR,LIDEXOR,Similar,GERMED FARMACEUTICA LTDA,3,nao
LIDEXOR GOTAS,LIDEXOR GOTAS,Similar,GERMED FARMACEUTICA LTDA,1,nao
LIDEXTRIN,LIDEXTRIN,Similar,BIOLAB SANUS FARMACEUTICA LTDA,1,nao
LIDIAL,LIDIAL,Similar,CELLERA FARMACEUTICA S.A.,1,nao
LIDOGEL,LIDOGEL,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,2,nao
LIDOJET,LIDOJET,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
LIDOPASS,LIDOPASS,Similar,1FARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
LIDOSPORIN,LIDOSPORIN,Novo,FARMOQUÍMICA S/A,1,nao
LIDOSTESIM,LIDOSTESIM,Similar,DLA PHARMACEUTICAL LTDA,2,nao
LIDOSTESIM AD,LIDOSTESIM AD,Novo,DLA PHARMACEUTICAL LTDA,1,nao
LIFOS,LIFOS,Similar,BLAU FARMACEUTICA S.A.,1,nao
LIMBITROL,LIMBITROL,Similar,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,1,nao
LIMIAR,LIMIAR,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
LINADIB,LINADIB,Similar,EMS S/A,3,nao
LINADIB DUO,LINADIB DUO,Similar,EMS S/A,6,nao
LINATRON,LINATRON,Similar,BLAU FARMACEUTICA S.A.,1,nao
LIND,LIND,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
LINOFEME,LINOFEME,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,2,nao
LIORESAL,LIORESAL,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
LIPANON,LIPANON,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
LIPFITE,LIPFITE,Similar,LABORATORIO GLOBO SA,1,nao
LIPIBLOCK,LIPIBLOCK,Similar,GERMED FARMACEUTICA LTDA,5,nao
LIPIDEM,LIPIDEM,Específico,LABORATORIOS B. BRAUN S/A,1,nao
LIPIDIL,LIPIDIL,Novo,ABBOTT LABORATORIOS DO BRASIL LTDA,4,nao
LIPIODOL UF,LIPIODOL UF,Similar,GUERBET IMAGEM DO BRASIL LTDA,1,nao
LIPISTAT,LIPISTAT,Similar,EMS SIGMA PHARMA LTDA,7,nao
LIPISTATINA,LIPISTATINA,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,2,nao
LIPITOR,LIPITOR,Similar,LABORATORIOS PFIZER LTDA | VIATRIS FARMACEUTICA DO BRASIL LTDA,9,nao
LIPLESS,LIPLESS,Similar,BIOLAB SANUS FARMACEUTICA LTDA,4,nao
LIPNEO,LIPNEO,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
LIPOFUNDIN,LIPOFUNDIN,Específico,LABORATORIOS B. BRAUN S/A,2,nao
LIPOSIC,LIPOSIC,Novo,BL INDÚSTRIA OTICA LTDA,1,nao
LIPOVENOS  MCT,LIPOVENOS MCT,Específico,FRESENIUS KABI BRASIL LTDA,3,nao
LIPOXEN,LIPOXEN,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,2,nao
LIPURO,LIPURO,Similar,LABORATORIOS B. BRAUN S/A,7,nao
LIRIS,LIRIS,Específico,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
LIRUX,LIRUX,Novo,EMS S/A,5,nao
LISADOR,LISADOR,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,4,nao
LISADOR CÓLICA,LISADOR COLICA,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
LISADOR DIP,LISADOR DIP,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,7,nao
LISADOR MUSCULAR,LISADOR MUSCULAR,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
LISDEV,LISDEV,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
LISODREN,LISODREN,Novo,MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA,1,nao
LISOMUC,LISOMUC,Similar,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,4,nao
LISON,LISON,Fitoterápico,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
LISTO,LISTO,Similar,BIOLAB SANUS FARMACEUTICA LTDA,6,nao
LISVENX,LISVENX,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,3,nao
LITERATA,LITERATA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,3,nao
LITFULO,LITFULO,Novo,PFIZER BRASIL LTDA,1,nao
LITOCIT,LITOCIT,Específico,APSEN FARMACEUTICA S/A,4,nao
LIVALO,LIVALO,Novo,BIOLAB SANUS FARMACEUTICA LTDA,7,nao
LIVANEL,LIVANEL,Similar,ABBOTT LABORATORIOS DO BRASIL LTDA,1,nao
LIVEPAX,LIVEPAX,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5,nao
LIVIAL,LIVIAL,Novo,ORGANON FARMACEUTICA LTDA.,2,nao
LIVMARLI,LIVMARLI,Novo,BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA,1,nao
LIVTENCITY,LIVTENCITY,Novo,TAKEDA PHARMA LTDA.,3,nao
LIVTÓS,LIVTOS,Fitoterápico,VIDORA FARMACEUTICA LTDA,1,nao
LIXIANA®,LIXIANA,Novo,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,5,nao
LIZBI®,LIZBI,Similar,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,4,nao
LOCERYL,LOCERYL,Novo,GALDERMA BRASIL LTDA,1,nao
LODATYR,LODATYR,Similar,ADIUM S.A.,6,nao
LOFERNIM,LOFERNIM,Similar,PRATI DONADUZZI & CIA LTDA,7,nao
LOFERNIM BETA,LOFERNIM BETA,Similar,PRATI DONADUZZI & CIA LTDA,13,nao
LOJUXTA®,LOJUXTA,Novo,AMRYT BRASIL COMERCIO E IMPORTACAO DE MEDICAMENTOS LTDA | CHIESI FARMACÊUTICA LTDA,4,nao
LOKELMA,LOKELMA,Novo,ASTRAZENECA DO BRASIL LTDA,2,nao
LOLITA,LOLITA,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,4,nao
LOMECAN,LOMECAN,Similar,GLENMARK FARMACÊUTICA LTDA,1,nao
LOMFER,LOMFER,Específico,LABORATÓRIOS OSÓRIO DE MORAES LTDA,2,nao
LOMICINA,LOMICINA,Similar,LABORATÓRIOS OSÓRIO DE MORAES LTDA,1,nao
LONADIAL,LONADIAL,Específico,FRESENIUS MEDICAL CARE LTDA,2,nao
LONCORD,LONCORD,Similar,DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA,2,nao
LONGACTIL,LONGACTIL,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,7,nao
LONIUM,LONIUM,Novo,APSEN FARMACEUTICA S/A,5,nao
LONQUEX,LONQUEX,Biológico,TEVA FARMACÊUTICA LTDA.,1,nao
LONSURF®,LONSURF,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,4,nao
LOPEXX,LOPEXX,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
LOPRESSOR,LOPRESSOR,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
LORADINE,LORADINE,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
LORAH,LORAH,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
LORASLIV,LORASLIV,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,1,nao
LORATAMED,LORATAMED,Similar,CIMED INDUSTRIA S.A,4,nao
LORATAMED D,LORATAMED D,Similar,CIMED INDUSTRIA S.A,1,nao
LORAX,LORAX,Novo,PFIZER BRASIL LTDA,2,nao
LORBRENA,LORBRENA,Novo,PFIZER BRASIL LTDA,2,nao
LOREDON,LOREDON,Similar,TORRENT DO BRASIL LTDA,3,nao
LORITIL,LORITIL,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,2,nao
LORSACOR,LORSACOR,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,1,nao
LOSEC,LOSEC,Novo,BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA,4,nao
LOTAR,LOTAR,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,9,nao
LOTEPROL,LOTEPROL,Novo,BL INDÚSTRIA OTICA LTDA,1,nao
LOWE,LOWE,Similar,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,1,nao
LOXAM,LOXAM,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
LOXONIN,LOXONIN,Novo,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,3,nao
LOXONIN FLEX,LOXONIN FLEX,Novo,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,6,nao
LOZAN,LOZAN,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
LOZEPREL,LOZEPREL,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,12,nao
LQFEX - CLOROQUINA,LQFEX CLOROQUINA,Similar,COMANDO DO EXÉRCITO,2,nao
LQFEX - DIPIRONA,LQFEX DIPIRONA,Similar,COMANDO DO EXÉRCITO,1,nao
LQFEX - MEFLOQUINA,LQFEX MEFLOQUINA,Similar,COMANDO DO EXÉRCITO,1,nao
LQFEX - SULFATO DE NEOMICINA + BACITRACINA ZINCICA,LQFEX SULFATO DE NEOMICINA BACITRACINA ZINCICA,Similar,COMANDO DO EXÉRCITO,1,nao
LQFEX - SULFATO DE QUININA,LQFEX SULFATO DE QUININA,Similar,COMANDO DO EXÉRCITO,1,nao
LUBIP,LUBIP,Similar,TORRENT DO BRASIL LTDA,10,nao
LUCENTIS,LUCENTIS,Biológico,NOVARTIS BIOCIENCIAS S.A,2,nao
LUDILI ED,LUDILI ED,Similar,EMS S/A,4,nao
LUFTAFEM,LUFTAFEM,Similar,RECKITT BENCKISER (BRASIL) LTDA,3,nao
LUFTAGASTRO,LUFTAGASTRO,Específico,RECKITT BENCKISER (BRASIL) LTDA,3,nao
LUFTAGASTRO DUPLA AÇÃO,LUFTAGASTRO DUPLA ACAO,Específico,RECKITT BENCKISER (BRASIL) LTDA,3,nao
LUFTAL,LUFTAL,Novo,RECKITT BENCKISER (BRASIL) LTDA,5,nao
LUGANO,LUGANO,Novo,EUROFARMA LABORATORIOS S.A.,3,nao
LUMAKRAS,LUMAKRAS,Novo,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,2,nao
LUMBRA,LUMBRA,Similar,EMS S/A,14,nao
LUMIDERM,LUMIDERM,Similar,EMS SIGMA PHARMA LTDA,2,nao
LUMIGAN,LUMIGAN,Novo,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,4,nao
LUMIVIT,LUMIVIT,Similar,GERMED FARMACEUTICA LTDA,3,nao
LUNAH,LUNAH,Específico,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,4,nao
LUNE,LUNE,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
LUNE SL,LUNE SL,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
LUNIERA,LUNIERA,Similar,BIOTEC BIOLOGICA INDÚSTRIA FARMACÊUTICA LTDA.,3,nao
LUPRON,LUPRON,Novo,ABBVIE FARMACÊUTICA LTDA.,1,nao
LUR,LUR,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
LUR D12,LUR D12,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
LUR GOTAS,LUR GOTAS,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
LURATT,LURATT,Similar,APSEN FARMACEUTICA S/A,20,nao
LUSANDA,LUSANDA,Similar,ADIUM S.A.,6,nao
LUTAB,LUTAB,Similar,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,8,nao
LUTICS,LUTICS,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
LUVOX,LUVOX,Novo,ABBOTT LABORATORIOS DO BRASIL LTDA,4,nao
LUXTURNA,LUXTURNA,Produto de Terapia Avançada,NOVARTIS BIOCIENCIAS S.A,1,nao
LYBERDIA,LYBERDIA,Similar,EMS S/A,3,nao
LYBERDIA GOTAS,LYBERDIA GOTAS,Novo,EMS S/A,1,nao
LYCERAH,LYCERAH,Similar,PRATI DONADUZZI & CIA LTDA,6,nao
LYDIAN,LYDIAN,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
LYLLAS,LYLLAS,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,1,nao
LYNDAVELUNO,LYNDAVELUNO,Similar,HEMAFARMA COM. E IND. FARM. LTDA,1,nao
LYNOZ,LYNOZ,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
LYNPARZA COMPRIMIDOS,LYNPARZA COMPRIMIDOS,Novo,ASTRAZENECA DO BRASIL LTDA,2,nao
LYONE,LYONE,Similar,ACCORD FARMACÊUTICA LTDA,15,nao
LYRICA,LYRICA,Novo,VIATRIS FARMACEUTICA DO BRASIL LTDA,8,nao
LYSDEXA,LYSDEXA,Similar,LIBBS FARMACÊUTICA LTDA,3,nao
LYVABE,LYVABE,Específico,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
M-LIX,M LIX,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
M-M-R II,M M R II,Biológico,MERCK SHARP & DOHME FARMACEUTICA LTDA.,1,nao
MABTHERA,MABTHERA,Biológico,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,3,nao
MACRODANTINA,MACRODANTINA,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
MADUN,MADUN,Similar,PRATI DONADUZZI & CIA LTDA,16,nao
MAGNEN B6,MAGNEN B6,Específico,MARJAN INDÚSTRIA E COMÉRCIO LTDA,2,nao
MAGNESIA BISURADA,MAGNESIA BISURADA,Específico,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,4,nao
MAGNEVISTAN,MAGNEVISTAN,Novo,BAYER S.A.,2,nao
MAGNOPYROL,MAGNOPYROL,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
MAGNOSTASE,MAGNOSTASE,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,3,nao
MAGNOSTON,MAGNOSTON,Específico,BLAU FARMACEUTICA S.A.,2,nao
MAHAN,MAHAN,Similar,SUN FARMACÊUTICA DO BRASIL LTDA,5,nao
MAHILA,MAHILA,Similar,EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA,2,nao
MAISOL,MAISOL,Específico,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,8,nao
MAIZHER,MAIZHER,Similar,PRATI DONADUZZI & CIA LTDA,4,nao
MALENA HCT,MALENA HCT,Similar,EMS SIGMA PHARMA LTDA,7,nao
MALÚ,MALU,Similar,EMS SIGMA PHARMA LTDA,1,nao
MALVATRICIN,MALVATRICIN,Novo,MEGALABS FARMACEUTICA S.A.,3,nao
MALVONA,MALVONA,Novo,MEGALABS FARMACEUTICA S.A.,2,nao
MAMADES,MAMADES,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
MANITOL,MANITOL,Específico,EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA | FARMA VISION IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA,4,nao
MANITOL 20%,MANITOL 20,Específico,COPERMED COMERCIAL IMPORTADORA LTDA | FRESENIUS KABI BRASIL LTDA | HALEX ISTAR INDUSTRIA FARMACEUTICA SA,4,nao
MANITOL BAXTER,MANITOL BAXTER,Específico,BAXTER HOSPITALAR LTDA,1,nao
MANITOL BEKER,MANITOL BEKER,Específico,BEKER PRODUTOS FARMACO HOSPITALARES LTDA,1,nao
MANITOL FARMACE,MANITOL FARMACE,Específico,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,1,nao
MANIVASC,MANIVASC,Novo,CHIESI FARMACÊUTICA LTDA,4,nao
MANTIDAN,MANTIDAN,Novo,EUROFARMA LABORATORIOS S.A.,2,nao
MARESIS HT,MARESIS HT,Específico,FARMOQUÍMICA S/A,1,nao
MAREVAN,MAREVAN,Novo,FARMOQUÍMICA S/A,5,nao
MASFEROL,MASFEROL,Específico,NATULAB LABORATORIO S.A,1,nao
MASSAGEOL,MASSAGEOL,Específico,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,3,nao
MATIZ,MATIZ,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
MAVENCLAD,MAVENCLAD,Novo,MERCK S/A,3,nao
MAVIRET,MAVIRET,Novo,ABBVIE FARMACÊUTICA LTDA.,1,nao
MAXALGINA,MAXALGINA,Similar,NATULAB LABORATORIO S.A,9,nao
MAXALT,MAXALT,Novo,ORGANON FARMACEUTICA LTDA.,1,nao
MAXAPRAN,MAXAPRAN,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
MAXIBELL,MAXIBELL,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
MAXIDEX,MAXIDEX,Novo,NOVARTIS BIOCIENCIAS S.A,2,nao
MAXIDRATE,MAXIDRATE,Específico,LIBBS FARMACÊUTICA LTDA,2,nao
MAXIFLOX,MAXIFLOX,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
MAXIFLOX D,MAXIFLOX D,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
MAXILERG,MAXILERG,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
MAXINOM,MAXINOM,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
MAXITROL,MAXITROL,Novo,NOVARTIS BIOCIENCIAS S.A,2,nao
MAXIVIEW,MAXIVIEW,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
MAXSULID,MAXSULID,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
MAYSA,MAYSA,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,3,nao
MEALZ,MEALZ,Similar,TORRENT DO BRASIL LTDA,4,nao
MEBENIX,MEBENIX,Similar,CIMED INDUSTRIA S.A,1,nao
MEC 12,MEC 12,Específico,EUROFARMA LABORATORIOS S.A.,2,nao
MECICLIN,MECICLIN,Similar,GERMED FARMACEUTICA LTDA,7,nao
MECLIN,MECLIN,Novo,APSEN FARMACEUTICA S/A,8,nao
MECLIN JET,MECLIN JET,Novo,APSEN FARMACEUTICA S/A,6,nao
MECOBALAMINA,MECOBALAMINA,Específico,BIOLAB SANUS FARMACEUTICA LTDA,1,nao
MECOBE,MECOBE,Específico,MYRALIS INDUSTRIA FARMACEUTICA LTDA,12,nao
MEDANSIEDADE,MEDANSIEDADE,Fitoterápico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
MEDATO,MEDATO,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
MEDICAÍNA,MEDICAINA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
MEDMULHER,MEDMULHER,Similar,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
MEFEX,MEFEX,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
MEFLAGIN,MEFLAGIN,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,2,nao
MEGAPEN,MEGAPEN,Novo,EUROFARMA LABORATORIOS S.A.,2,nao
MEGLIZE,MEGLIZE,Novo,EMS S/A,1,nao
MEGY,MEGY,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,5,nao
MEKINIST,MEKINIST,Novo,NOVARTIS BIOCIENCIAS S.A,2,nao
MEKTOVI,MEKTOVI,Novo,PFIZER BRASIL LTDA,1,nao
MELAZTE,MELAZTE,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,5,nao
MELHORAL,MELHORAL,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
MELIK,MELIK,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
MELLERIL,MELLERIL,Novo,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,5,nao
MELOCOX,MELOCOX,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
MELOCOX ODT,MELOCOX ODT,Novo,EUROFARMA LABORATORIOS S.A.,1,nao
MELOVAC,MELOVAC,Similar,EMS S/A,1,nao
MELOXIGRAN,MELOXIGRAN,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
