marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
TOPERMA,TOPERMA,Novo,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,2,nao
TOPIREX,TOPIREX,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,2,nao
TOPISON,TOPISON,Similar,LIBBS FARMACÊUTICA LTDA,6,nao
TOPOTACX,TOPOTACX,Similar,ACCORD FARMACÊUTICA LTDA,1,nao
TORADOL,TORADOL,Novo,FARMOQUÍMICA S/A,1,nao
TORAGESIC,TORAGESIC,Similar,EMS SIGMA PHARMA LTDA,8,nao
TORAGESIC OFTA,TORAGESIC OFTA,Similar,EMS SIGMA PHARMA LTDA,3,nao
TORANTE,TORANTE,Fitoterápico,EUROFARMA LABORATORIOS S.A.,2,nao
TORFLAY,TORFLAY,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,8,nao
TORGENA,TORGENA,Novo,PFIZER BRASIL LTDA,1,nao
TORHANZ,TORHANZ,Similar,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,2,nao
TORMIV ODG,TORMIV ODG,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
TORMIV SL,TORMIV SL,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
TORREM,TORREM,Similar,TORRENT DO BRASIL LTDA,2,nao
TORSILAX,TORSILAX,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,4,nao
TORVAL CR,TORVAL CR,Novo,TORRENT DO BRASIL LTDA,6,nao
TORVILIP,TORVILIP,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,3,nao
TORXIS,TORXIS,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
TOSSEXPEC,TOSSEXPEC,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
TOTACEF,TOTACEF,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
TOTTI SL,TOTTI SL,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
TOUJEO,TOUJEO,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
TOVAR,TOVAR,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
