codigo_br,desc_item,codigo_pdm,desc_pdm,numeroCaracteristica,nomeCaracteristica,nomeValorCaracteristica,siglaUnidadeMedida
604673,"604673 - Alfaolipudase, Concentração:20 MG, Apresentação:Injetável",30085,Alfaolipudase,1,Concentração,20,MG
604673,"604673 - Alfaolipudase, Concentração:20 MG, Apresentação:Injetável",30085,Alfaolipudase,2,Apresentação,Injetável,NA
604675,"604675 - Binimetinibe, Concentração:15 MG",30086,Binimetinibe,1,Concentração,15,MG
604678,"604678 - Bosutinibe, Concentração:500 MG",30087,Bosutinibe,1,Concentração,500,MG
604677,"604677 - Bosutinibe, Concentração:400 MG",30087,Bosutinibe,1,Concentração,400,MG
604676,"604676 - Bosutinibe, Concentração:100 MG",30087,Bosutinibe,1,Concentração,100,MG
604680,"604680 - Ceftobiprol, Concentração:500 MG, Apresentação:Injetável",30088,Ceftobiprol,1,Concentração,500,MG
604680,"604680 - Ceftobiprol, Concentração:500 MG, Apresentação:Injetável",30088,Ceftobiprol,2,Apresentação,Injetável,NA
604712,"604712 - Encorafenibe, Concentração:75 MG",30089,Encorafenibe,1,Concentração,75,MG
604711,"604711 - Encorafenibe, Concentração:50 MG",30089,Encorafenibe,1,Concentração,50,MG
604708,"604708 - Eplerenona, Concentração:25 MG",30090,Eplerenona,1,Concentração,25,MG
604707,"604707 - Eplerenona, Concentração:50 MG",30090,Eplerenona,1,Concentração,50,MG
