codigo_pdm,codigo_br,nome_item,embedding
5164,267570,"diltiazem cloridrato, dosagem:180 mg, indicação:ação prolongada","[-0.04623993  0.03828608  0.01213459 ...  0.03921994 -0.02550499
  0.00991287]"
5164,267571,"diltiazem cloridrato, dosagem:90 mg, indicação:ação prolongada","[-0.06222184  0.02926451  0.01207214 ...  0.03336125 -0.00538401
  0.01601457]"
5164,267572,"diltiazem cloridrato, dosagem:120mg, indicação:ação prolongada","[-0.05417769  0.03697973  0.02280349 ...  0.02888056 -0.02009571
  0.01256325]"
13384,267573,"verapamil cloridrato, dosagem:120 mg, indicação:ação prolongada","[-0.05412086  0.01969028  0.05302191 ...  0.02290964 -0.02353844
  0.02925426]"
5118,267574,"cloreto de sódio, dosagem:20%, uso:solução injetável","[-0.01739025  0.05206884 -0.02290485 ... -0.01392871  0.04061644
  0.02748189]"
6240,267581,"beclometasona dipropionato, apresentação:spray oral, dosagem:250mcg/dose, características adicionais:frasco doseador com bocal aerogador","[-0.05976266  0.00402875  0.01364717 ...  0.01100541 -0.01079173
 -0.02547228]"
6240,267582,"beclometasona dipropionato, apresentação:spray nasal, dosagem:50mcg/dose, características adicionais:frasco doseador com aerogador nasal","[-0.05098915 -0.00161981  0.02040951 ... -0.01876643  0.00781579
 -0.03282712]"
6240,267585,"beclometasona dipropionato, dosagem:400 mcg, características adicionais:cápsulas inalatórias, com inalador","[-0.06058723  0.00595328  0.01814684 ...  0.01967162 -0.01466579
  0.00428583]"
6240,267586,"beclometasona dipropionato, dosagem:200 mcg, características adicionais:cápsulas inalatórias, com inalador","[-0.06154346  0.00841785  0.02577789 ...  0.01805711 -0.00446256
  0.00496614]"
6240,267587,"beclometasona dipropionato, apresentação:pó para inalação oral, dosagem:200mcg/dose, características adicionais:frasco doseador com bocal aerogador","[-0.05617901 -0.00602557  0.02465827 ...  0.0188087  -0.02071857
 -0.02477578]"
6240,267588,"beclometasona dipropionato, apresentação:pó para inalação oral, dosagem:100mcg/dose, características adicionais:frasco doseador com bocal aerogador","[-0.04069267 -0.0168724   0.01088236 ...  0.01162684 -0.01896644
 -0.02567924]"
6240,267589,"beclometasona dipropionato, apresentação:pó para inalação oral, dosagem:400mcg/dose, características adicionais:frasco doseador com bocal aerogador","[-0.05710879 -0.0058767   0.02047497 ...  0.01947108 -0.02949257
 -0.02508646]"
6240,267590,"beclometasona dipropionato, apresentação:spray nasal, dosagem:250mcg/dose, características adicionais:frasco doseador com aerogador nasal","[-0.05897339  0.00588988  0.0169293  ...  0.00758094  0.00924577
 -0.0249777 ]"
4505,267613,"captopril, concentração:25 mg","[ 0.02785566 -0.05093683  0.06556708 ...  0.03127715 -0.04190766
  0.04756106]"
4505,267614,"captopril, concentração:12,50 mg","[ 0.01342413 -0.05000462  0.06654873 ...  0.04022044 -0.04962884
  0.03822193]"
4505,267615,"captopril, concentração:50 mg","[ 0.0299177  -0.04182213  0.06588547 ...  0.01879426 -0.04455647
  0.03413751]"
4509,267617,"carbamazepina, dosagem:400 mg","[-0.03638038 -0.02858523  0.02773174 ...  0.01364217 -0.02226762
  0.03108208]"
4509,267618,"carbamazepina, dosagem:200 mg","[-0.03287359 -0.02532304  0.03992724 ...  0.01184094 -0.0042675
  0.03410768]"
4517,267621,"carbonato de lítio, dosagem:300 mg","[-0.03426234  0.02247125 -0.03609531 ...  0.02067224  0.04500718
  0.02957156]"
4720,267625,"cefalexina, dosagem:500 mg","[-0.01189634 -0.02478024  0.00320771 ...  0.01457048  0.00160859
  0.01892517]"
348,267627,"cimetidina, dosagem:200 mg","[-0.04426147 -0.01027631  0.00883408 ...  0.02509492 -0.00373937
  0.00699834]"
5012,267628,"cinarizina, dosagem:25 mg","[ 0.02164271  0.01622039 -0.01515152 ...  0.01008107  0.02697849
  0.02746963]"
5012,267629,"cinarizina, dosagem:75 mg","[ 0.00384822  0.01931827 -0.01295855 ...  0.02361167  0.0127846
  0.01276663]"
5040,267631,"ciprofloxacino cloridrato, dosagem:250 mg","[-0.06131373 -0.01723339  0.00921324 ...  0.01486217 -0.01993541
  0.04217928]"
5040,267632,"ciprofloxacino cloridrato, dosagem:500 mg","[-0.04708419 -0.0067892  -0.01114938 ... -0.00684282 -0.03688848
  0.03714663]"
5275,267635,"clorpromazina, dosagem:25 mg","[-0.04219005  0.01251727  0.01217212 ... -0.00427954 -0.02528336
  0.02829093]"
5275,267638,"clorpromazina, dosagem:100 mg","[-0.0484928   0.01274821 -0.01604853 ...  0.00565972 -0.03374822
  0.02559786]"
5276,267641,"clorpropamida, dosagem:250 mg","[-0.03580811  0.01220433  0.0212425  ...  0.00957294  0.0256706
  0.04448515]"
5340,267642,"colchicina, dosagem:0,5 mg","[-0.02763676 -0.04337118  0.00436553 ... -0.0090263  -0.00188058
 -0.00270728]"
6143,267643,"dexametasona, dosagem:0,1%, apresentação:creme","[-0.00238187 -0.03625426  0.01226704 ...  0.00979661  0.01475868
 -0.02578427]"
6143,267644,"dexametasona, dosagem:0,5 mg","[ 0.00339665 -0.04745     0.02791104 ... -0.00053436 -0.02466076
 -0.00739215]"
9035,267645,"dexclorfeniramina maleato, dosagem:2 mg","[-0.05735645 -0.01258755  0.01472185 ...  0.02355725 -0.00873833
  0.00769356]"
9035,267646,"dexclorfeniramina maleato, dosagem:0,4 mg/ml, apresentação:solução oral","[-0.05430147 -0.00152002  0.00747907 ...  0.03670848 -0.02214412
  0.00590248]"
6200,267647,"digoxina, dosagem:0,25 mg","[-0.026387   -0.05598845  0.04587595 ...  0.0344214  -0.03148206
  0.01456623]"
6200,267648,"digoxina, dosagem:0,05 mg/ml, apresentação:elixir","[-0.04495994 -0.0434567   0.05564398 ...  0.05391655 -0.02698586
  0.0087067 ]"
9038,267650,"enalapril maleato, dosagem:5 mg","[-0.00116115  0.01458696  0.03854078 ...  0.02351106 -0.0213205
  0.02647743]"
9038,267651,"enalapril maleato, dosagem:10 mg","[ 0.00152483 -0.00347278  0.01549429 ...  0.01916433 -0.0168588
  0.0522938 ]"
9038,267652,"enalapril maleato, dosagem:20 mg","[ 0.00197475  0.02166544  0.03599138 ...  0.02017118 -0.01814231
  0.04786659]"
7024,267653,"espironolactona, dosagem:25 mg","[-0.06640165 -0.01710513  0.07267626 ... -0.01451433 -0.0048981
  0.03896972]"
7024,267654,"espironolactona, dosagem:100 mg","[-0.07202893 -0.0145026   0.04314386 ... -0.00775562 -0.0107959
  0.03749682]"
7351,267657,"fenitoína sódica, dosagem:100 mg","[ 0.01798787 -0.04264551 -0.05835718 ...  0.0289731   0.03186153
  0.03190722]"
7355,267660,"fenobarbital sódico, dosagem:100 mg","[ 0.02973175 -0.03186882 -0.05430378 ...  0.01033614  0.03246136
  0.05014172]"
7644,267661,"fluconazol, dosagem:100 mg","[-0.00087512  0.01875479 -0.0111429  ... -0.0116112  -0.02216013
  0.05774985]"
7644,267662,"fluconazol, dosagem:150 mg","[ 0.00252226  0.03057778  0.01825436 ...  0.00625607 -0.03594917
  0.05343958]"
7878,267663,"furosemida, dosagem:40 mg","[-0.02220523  0.00911733  0.01428346 ... -0.01764741  0.00222642
  0.03397971]"
7878,267666,"furosemida, composição:10 mg/ml, apresentação:solução injetável","[-0.03543984  0.00570919  0.0066426  ...  0.0179314   0.024385
  0.02710769]"
14707,267668,"gentamicina, dosagem:10 mg/ml, aplicação:solução injetável","[-0.08078252 -0.00863209  0.0274173  ...  0.02952313  0.00221885
  0.0061044 ]"
8164,267669,"haloperidol, dosagem:5 mg","[-0.03884888 -0.01737755  0.04532304 ...  0.04217799  0.00328338
  0.04138988]"
8164,267670,"haloperidol, dosagem:1 mg","[-0.04410929 -0.01028672  0.03919448 ...  0.04717427  0.00814014
  0.03277435]"
8000,267671,"glibenclamida, dosagem:5 mg","[-0.07098968  0.00078405  0.03842559 ... -0.01321341 -0.00621454
  0.01243118]"
8220,267674,"hidroclorotiazida, dosagem:25 mg","[-0.01099728  0.00950999  0.00452348 ...  0.01128787  0.02546213
  0.01601213]"
8220,267675,"hidroclorotiazida, dosagem:50 mg","[-0.00357958  0.01920197  0.00713041 ... -0.00375796  0.02718722
  0.00194193]"
8275,267676,"ibuprofeno, dosagem:600 mg","[ 0.02504507 -0.00891262  0.04785723 ... -0.00393925 -0.0620099
  0.00098697]"
8275,267677,"ibuprofeno, dosagem:300 mg","[-0.00865446 -0.00344413  0.02288838 ...  0.0209417  -0.03295729
  0.00255722]"
9697,267688,"metildopa, dosagem:500 mg","[-0.00883262 -0.02460467  0.02962604 ...  0.00694993  0.01304364
  0.02772726]"
9697,267689,"metildopa, dosagem:250 mg","[-0.02187308 -0.03874071  0.05262017 ...  0.02915154  0.03167558
  0.036676  ]"
5206,267690,"metformina cloridrato, dosagem:500 mg","[-0.04316167  0.01633185 -0.01347465 ...  0.00720412 -0.02476368
  0.02428263]"
5206,267691,"metformina cloridrato, dosagem:850 mg","[-0.05598461 -0.01657325  0.00234795 ...  0.00622083 -0.03105133
  0.03079533]"
9514,267692,"mebendazol, dosagem:100 mg","[-0.01899902 -0.01105477  0.01482317 ... -0.01620545 -0.03998009
  0.04026322]"
9514,267694,"mebendazol, dosagem:20 mg/ml, apresentação:suspensão oral","[-0.03164126  0.00808563  0.05155655 ... -0.00592446 -0.04596981
  0.03021379]"
10216,267711,"omeprazol, concentração:10 mg","[ 0.08122107 -0.02933266  0.03543746 ...  0.02597842 -0.0256964
  0.04236611]"
10216,267712,"omeprazol, concentração:20 mg","[ 0.08332558 -0.00358424  0.05221716 ...  0.03316816 -0.03042939
  0.03782783]"
10216,267713,"omeprazol, concentração:40 mg","[ 0.06033299 -0.01976732  0.05827    ...  0.03145495 -0.03267279
  0.0293393 ]"
9712,267717,"metronidazol, dosagem:250 mg",[0.02454385 0.03384041 0.00881819 ... 0.01467289 0.0167528  0.04415327]
10082,267728,"nifedipino, dosagem:10 mg","[ 0.02141745 -0.0634814   0.00728805 ...  0.01973004  0.01888226
  0.05624096]"
10082,267729,"nifedipino, dosagem:20 mg","[ 0.02318768 -0.03969133  0.0268582  ...  0.02446776  0.01424619
  0.05101167]"
13472,267732,"vitelinato de prata, concentração:10%, indicação:solução oftálmica","[-0.00952412  0.02574389 -0.04618658 ...  0.00828518 -0.00207323
  0.03588627]"
