numero_controle_pncp,numero_item,tipoBeneficioNome,aplicabilidadeMargemPreferenciaNormal,percentualMargemPreferenciaNormal,aplicabilidadeMargemPreferenciaAdicional,percentualMargemPreferenciaAdicional,tipoMargemPreferencia.codigo,criterioJulgamentoNome,tipoMargemPreferencia.nome,tipoMargemPreferencia,exigenciaConteudoNacional,_merge,srp,_merge_srp
87738530000110-1-001407/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
45138070000149-1-001307/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
01067479000146-1-000051/2025,6,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
01067479000146-1-000051/2025,7,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
01067479000146-1-000051/2025,8,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
45138070000149-1-001308/2025,2,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
45138070000149-1-001309/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
45138070000149-1-001310/2025,3,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
13864377000130-1-001942/2025,2,Não se aplica,False,,False,,,Menor preço,,,"FALSE,,",both,True,both
34621748000123-1-000250/2025,7,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
34621748000123-1-000250/2025,8,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
12998458000160-1-000859/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
03575875000100-1-000093/2025,46312,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
48031918000124-1-002484/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
12998458000160-1-000862/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
12998458000160-1-000863/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
17217332000125-1-000090/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
46068425000133-1-001959/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46068425000133-1-001959/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46068425000133-1-001959/2025,3,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
00394544000185-1-001887/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
00394544000185-1-001887/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
00394544000185-1-001887/2025,3,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
00394544000185-1-001887/2025,4,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
00394544000185-1-001887/2025,5,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001413/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001413/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001413/2025,3,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001413/2025,4,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001413/2025,5,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001413/2025,6,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001413/2025,7,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001413/2025,8,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001413/2025,9,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001413/2025,10,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
12998458000160-1-000867/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
15126437000305-1-001841/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
00394502002864-1-002698/2025,1,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
00394502002864-1-002698/2025,2,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
00394502002864-1-002698/2025,3,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
00394502002864-1-002698/2025,6,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
00394502002864-1-002698/2025,8,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
46374500000194-1-007639/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46374500000194-1-007641/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
63025530000104-1-003115/2025,9,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
04764154000100-1-000039/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46374500000194-1-007651/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46374500000194-1-007653/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46374500000194-1-007655/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46374500000194-1-007656/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
43776491000170-1-000214/2025,4,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46634481000198-1-000213/2024,4,Não se aplica,False,,False,,,Menor preço,,,False,both,True,both
46634481000198-1-000213/2024,5,Não se aplica,False,,False,,,Menor preço,,,False,both,True,both
46634481000198-1-000213/2024,6,Não se aplica,False,,False,,,Menor preço,,,False,both,True,both
46634481000198-1-000213/2024,8,Não se aplica,False,,False,,,Menor preço,,,False,both,True,both
46634481000198-1-000213/2024,9,Não se aplica,False,,False,,,Menor preço,,,False,both,True,both
46634291000170-1-000666/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46634291000170-1-000666/2025,2,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46634291000170-1-000666/2025,3,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46634291000170-1-000666/2025,6,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46374500000194-1-007643/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88756879000147-1-000314/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
04219343000100-1-001080/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
33781055000135-1-001271/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
63025530000104-1-002798/2025,2,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
63025530000104-1-002798/2025,4,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,False,both,False,both
03517102000177-1-000203/2025,10339,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
92871532000112-1-000411/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
92871532000112-1-000411/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
90832619000155-1-000159/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
96291141000180-1-003547/2025,7,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
90832619000155-1-000354/2024,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
03517102000177-1-000208/2025,10373,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
00402552000126-1-000334/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88117700000101-1-000329/2025,9,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
12998458000160-1-000870/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
