numero_controle_pncp,numero_item,aplicacao_beneficio_me_epp,incentivo_produtivo_basico,exigencia_conteudo_nacional,aplicabilidade_margem_preferencia_normal,aplicabilidade_margem_preferencia_adicional,tipo_margem_preferencia_codigo,tipo_margem_preferencia_nome,percentual_margem_preferencia_normal,percentual_margem_preferencia_adicional,aplicacao_margem_preferencia,amparo_legal_margem_preferencia_id,amparo_legal_margem_preferencia_nome,amparo_legal_margem_preferencia_descricao,aplicacao_criterio_desempate,amparo_legal_criterio_desempate_id,amparo_legal_criterio_desempate_nome,amparo_legal_criterio_desempate_descricao,percentual_desconto
87958625000149-1-000314/2024,4,,,,,,,,,,,,,,,,,,
82951351000142-1-000114/2024,1,,,,,,,,,,,,,,,,,,
46374500000194-1-004917/2024,5,,,,,,,,,,,,,,,,,,
82951351000142-1-000164/2024,9,,,,,,,,,,,,,,,,,,
46374500000194-1-004823/2024,5,,,,,,,,,,,,,,,,,,
46374500000194-1-004787/2024,6,,,,,,,,,,,,,,,,,,
13864377000130-1-000999/2024,2,,,,,,,,,,,,,,,,,,
46374500000194-1-004756/2024,1,,,,,,,,,,,,,,,,,,
44847663000111-1-000764/2024,1,,,,,,,,,,,,,,,,,,
82951351000142-1-000138/2024,5,,,,,,,,,,,,,,,,,,
46374500000194-1-004022/2024,5,,,,,,,,,,,,,,,,,,
46377800000127-1-001996/2024,8,,,,,,,,,,,,,,,,,,
46374500000194-1-004707/2024,2,,,,,,,,,,,,,,,,,,
46634101000115-1-000259/2024,5,,,,,,,,,,,,,,,,,,
46374500000194-1-004686/2024,1,,,,,,,,,,,,,,,,,,
58200015000183-1-000234/2024,4,,,,,,,,,,,,,,,,,,
63025530000104-1-000997/2024,2,,,,,,,,,,,,,,,,,,
63025530000104-1-000995/2024,1,,,,,,,,,,,,,,,,,,
46374500000194-1-004653/2024,1,,,,,,,,,,,,,,,,,,
45176005000108-1-000494/2024,1471767,,,,,,,,,,,,,,,,,,
45176005000108-1-000494/2024,1471769,,,,,,,,,,,,,,,,,,
45318185000115-1-000064/2024,4562680,,,,,,,,,,,,,,,,,,
63025530000104-1-000971/2024,4,,,,,,,,,,,,,,,,,,
46374500000194-1-004601/2024,1,,,,,,,,,,,,,,,,,,
45781176000166-1-000551/2024,6,,,,,,,,,,,,,,,,,,
46319000000150-1-000281/2024,2,,,,,,,,,,,,,,,,,,
46223699000150-1-002207/2024,4,,,,,,,,,,,,,,,,,,
44959021000104-1-000217/2024,1,,,,,,,,,,,,,,,,,,
44959021000104-1-000217/2024,9,,,,,,,,,,,,,,,,,,
45787678000102-1-000227/2024,5,,,,,,,,,,,,,,,,,,
44959021000104-1-000216/2024,9,,,,,,,,,,,,,,,,,,
67662437000161-1-000036/2024,4,,,,,,,,,,,,,,,,,,
45767829000152-1-000095/2024,8,,,,,,,,,,,,,,,,,,
46522942000130-1-000263/2024,10,,,,,,,,,,,,,,,,,,
46374500000194-1-004284/2024,4,,,,,,,,,,,,,,,,,,
46410866000171-1-000286/2024,4,,,,,,,,,,,,,,,,,,
46523239000147-1-000433/2024,1,,,,,,,,,,,,,,,,,,
46523270000188-1-000291/2024,5,,,,,,,,,,,,,,,,,,
87252045000131-1-000632/2024,3,,,,,,,,,,,,,,,,,,
15180714000104-1-000117/2024,9,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
13937032000160-1-001027/2024,1,,,,,,,,,,,,,,,,,,
00394502000144-1-006681/2024,1,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
13937032000160-1-000801/2024,1,,,,,,,,,,,,,,,,,,
15180714000104-1-000061/2024,4,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
00394452000103-1-004457/2024,9,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
15180714000104-1-000026/2024,4,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
00394452000103-1-000556/2024,5,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
00394452000103-1-012602/2024,1,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
16692121000181-1-000036/2024,6,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
19843929000100-1-000431/2023,3,,,,,,,,,,,,,,,,,,
00402552000126-1-000272/2024,4,,,,,,,,,,,,,,,,,,
00394700000108-1-000474/2025,4,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
18715383000140-1-000442/2023,2,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
00394452000103-1-004742/2024,1,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
17138140000123-1-000005/2024,7,,,,,,,,,,,,,,,,,,
18715383000140-1-000390/2023,4,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
17188574000138-1-000004/2024,1,,,,,,,,,,,,,,,,,,
00394452000103-1-000057/2024,10,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
