"endpoint","numeroItem","codigo_pdm","descricao","unidadeMedida"
"https://pncp.gov.br/api/pncp/v1/orgaos/63025530000104/compras/2024/874/itens",7,"2025","Sabonete aspecto físico*: sólido, composição: à base de ácido salicílico Na Requisição de Compra(Documento da Demanda de Compra) a unidade de compra é pacote com 12 sabonetes, portanto o valor unitário é R$ 18,00, quantidade total de 60 pacotes.","Embalagem 80 G"
"https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2023/936/itens",3,"5083","CLOBAZAM, 10MG, COMPRIMIDO, UNIDADE 1.0 COMPRIMIDO","UNIDADE 1.0 COMPRIMIDO "
"https://pncp.gov.br/api/pncp/v1/orgaos/82562893000123/compras/2024/60/itens",1,"2036","ÁCIDO VALPRÓICO 50MG/ML C/100 ML","Frasco"
"https://pncp.gov.br/api/pncp/v1/orgaos/03347127000170/compras/2024/74/itens",4204704,"2418","NEOCATE LCP ( DANONE) 400GR - NEOCATE LCP (DANONE) 400GR NEOCATE LCP É FÓRMULA INFANTIL PARA LACTENTES E DE SEGUIMENTO PARA LACTENTES E/OU CRIANÇAS DE PRIMEIRA INFÂNCIA DESTINADA A NECESSIDADES DIETOTERÁPICAS ESPECÍFICAS COM RESTRIÇÃO DE LACTOSE E À BASE DE AMINOÁCIDOS LIVRES. NÃO CONTÉM GLÚTEN. INDICAÇÃO: INDICADO PARA CRIANÇAS DE 0 A 3 ANOS COM ALERGIA ALIMENTAR (AO LEITE DE VACA, À SOJA, A HIDROLISADOS E A MÚLTIPLAS PROTEÍNAS), SÍNDROME DO INTESTINO CURTO E OUTROS DISTÚRBIOS ABSORTIVOS MODERADOS A GRAVES, GASTROENTEROPATIA EOSINOFÍLICA, NUTRIÇÃO ENTERAL PRECOCE/MINIMA EM TERAPIA INTENSIVA NEONATAL E PEDIÁTRICA, TRANSIÇÃO DE NUTRIÇÃO PARENTERAL PARA ENTERAL. CUIDADOS DE CONSERVAÇÃO: CONSERVAR EM LOCAL SECO E FRESCO. APÓS ABERTO, O PRODUTO DEVE SER CONSUMIDO DENTRO DE 4 SEMANAS. APRESENTAÇÃO/RENDIMENTOS: APRESENTAÇÃO: LATA RENDIMENTO: 400G","UNIDADE"
"https://pncp.gov.br/api/pncp/v1/orgaos/07605850000162/compras/2022/4/itens",10,"15870","Carbonato de cálcio 1250mg – Equivalente a 500mg de Ca++.","Comprimido"
"https://pncp.gov.br/api/pncp/v1/orgaos/45732377000173/compras/2024/97/itens",1,"4803","CETOCONAZOL + DIPROPIONATO BETAMETASONA + SULFATO DE NEOMICINA 20 MG/G + 0,5 MG + 2,5 MG/G - CREME - TUBO 30 G","TUBO"
"https://pncp.gov.br/api/pncp/v1/orgaos/19843929000100/compras/2024/269/itens",2,"355","ATROPINA - PRINCIPIO ATIVO: ATROPINA, SULFATO; CONCENTRACAO/DOSAGEM: 10 MG/ML (1%); FORMA FARMACEUTICA: SOLUCAO OFTALMICA; APRESENTACAO: FRASCO 5 ML; C","FRASCO"
"https://pncp.gov.br/api/pncp/v1/orgaos/04279238000159/compras/2023/33/itens",3338555,"4677","CARVEDILOL 25MG
","COMP"
"https://pncp.gov.br/api/pncp/v1/orgaos/32001836000105/compras/2023/22/itens",10,"3570","BISACODIL 5 MG.","CP"
"https://pncp.gov.br/api/pncp/v1/orgaos/87615449000142/compras/2024/180/itens",8,"1249","BICARBONATO DE SODIO 1KG","Unidade"
"https://pncp.gov.br/api/pncp/v1/orgaos/87958625000149/compras/2024/276/itens",4,"19799","CABOZANTINIBE 60MG","cp"
"https://pncp.gov.br/api/pncp/v1/orgaos/45279635000108/compras/2023/761/itens",6,"5118","CLORETO DE SÓDIO 0,9% SOLUÇÃO ATÓXICA E APIROGÊNICA SISTEMA
FECHADO BOLSA 250ML","Bolsa"
"https://pncp.gov.br/api/pncp/v1/orgaos/76958966000106/compras/2023/233/itens",1,"19718","EDOXABANA 60MG  CAIXA COM 30 COMPRIMIDOS
BR0459805","CAIXA (CX)"
"https://pncp.gov.br/api/pncp/v1/orgaos/11055682000156/compras/2024/110/itens",3,"1289","CARRO MACA ELEVAÇÃO HIDRÁULICA  EM AÇO INOX COM MOVIMENTO  TRENDELEMBURG,  ACABAMENTO DAS RODAS TERMO PLÁSTICA, COM 4 RODÍZIOS 8 POLEGADAS DE DIÂMETRO, COM BANDA DE RODAGEM DUPLA COM FAIXA EM PU DE ALTA RESISTÊNCIA E DURABILIDADE, DOTADOS DE ROLAMENTOS BLINDADOS QUE PROPORCIONAM SUAVIDADE E LEVEZA NA LOCOMOÇÃO, BAIXO ÍNDICE DE RUÍDOS E MENOR ESFORÇO DO OPERADOR, SENDO 2 COM FREIO, COMPONENTES SUPORTE SORO REMOVÍVEL, COMPONENTES 01 SUPORTE PARA CILINDRO DE O2 SOLDADO NA ESTRUTURA, COM COMPRIMENTO DE 35 CM OU MAIOR E  DIÂMETRO 17 CM OU MAIOR, DEVE ACOMPANHAR SUPORTE DE SORO EM AÇO INOX COM 4 GANCHOS, CARACTERÍSTICAS ADICIONAIS RADIOTRANSPARENTE, CARACTERÍSTICAS ADICIONAIS 01 PAR DE GRADES ESCAMOTEÁVEIS, ACESSÓRIOS BANDEJA APOIO PARA SUPORTAR EQUIPAMENTOS MÉDICOS COM CAPACIDADE MÍNIMA DE 5KG, ACOMPANHA COLCHONETE PARA MACA EM COURVIN LAVÁVEL COMPATÍVEL COM A CAMA, ESPESSURA MÍNIMA 15 CM MÍNIMO D33 OU SUPERIOR; PESO ADMISSÍVEL SOBRE A ESTRUTURA: A PARTIR DE 250KG. LARGURA MÍNIMA DA MACA 70 CM, ALTURA DA MACA DE 75 CM OU INFERIOR A 95CM OU SUPERIOR, COMPRIMENTO 190 CM A 210 CM. GARANTIA DE 12 MESES.","Unidade"
"https://pncp.gov.br/api/pncp/v1/orgaos/46523239000147/compras/2024/494/itens",3,"5118","CLORETO DE SODIO 0,9%, FRASCO/BOLSA 1.000ML, SOLU-","FRASCO BOLSA"
