amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,amparoLegalMargemPreferencia,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,aplicacaoMargemPreferencia,codigoPais,dataAtualizacao,dataCancelamento,dataCotacaoMoedaEstrangeira,dataInclusao,dataResultado,endpoint,indicadorSubcontratacao,moedaEstrangeira,motivoCancelamento,naturezaJuridicaId,naturezaJuridicaNome,niFornecedor,nomeRazaoSocialFornecedor,numeroControlePNCPCompra,numeroItem,ordemClassificacaoSrp,paisOrigemProdutoServico,percentualDesconto,porteFornecedorId,porteFornecedorNome,quantidadeHomologada,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,timezoneCotacaoMoedaEstrangeira,tipoPessoa,valorNominalMoedaEstrangeira,valorTotalHomologado,valorUnitarioHomologado
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-10-10T17:58:14,NA,NA,2024-10-10T17:58:14,2024-10-10,https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2593/itens/8/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,15126437000143-1-002593/2024,8,1,NA,0.0000,3,Demais,67,1,1,Informado,NA,PJ,NA,1206.000,18.0000
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-09-19T13:55:20,NA,NA,2024-09-19T13:55:20,2024-09-19,https://pncp.gov.br/api/pncp/v1/orgaos/46381000002123/compras/2024/31/itens/10/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,17756574000197,MANZATOS FARMA LTDA,46381000002123-1-000031/2024,10,NA,NA,0.0000,1,ME,160,1,1,Informado,NA,PJ,NA,715.200,4.4700
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-10-11T11:58:06,NA,NA,2024-10-11T11:58:06,2024-10-11,https://pncp.gov.br/api/pncp/v1/orgaos/08241739000105/compras/2024/772/itens/8/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,07055280000184,F WILTON CAVALCANTE MONTEIRO LTDA,08241739000105-1-000772/2024,8,1,NA,0.0000,3,Demais,2880,1,1,Informado,NA,PJ,NA,11721.600,4.0700
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-09-19T10:02:13,NA,NA,2024-09-19T10:02:13,2024-09-19,https://pncp.gov.br/api/pncp/v1/orgaos/12474705000120/compras/2024/186/itens/1/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,67729178000491,COMERCIAL CIRURGICA RIOCLARENSE LTDA,12474705000120-1-000186/2024,1,1,NA,0.0000,3,Demais,76800,1,1,Informado,NA,PJ,NA,92160.0000,1.2000
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-08-01T12:26:38,NA,NA,2024-08-01T12:26:38,2024-07-26,https://pncp.gov.br/api/pncp/v1/orgaos/14986862000140/compras/2024/21/itens/7/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,05194502000114,ALFALAGOS LTDA.,14986862000140-1-000021/2024,7,1,NA,0.0000,3,Demais,10,1,1,Informado,NA,PJ,NA,29.0000,2.9000
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-12-09T09:36:02,NA,NA,2024-12-09T09:36:02,2024-12-02,https://pncp.gov.br/api/pncp/v1/orgaos/01488169000103/compras/2024/2/itens/10/resultados,FALSE,NA,NA,NA,NA,02520829000493,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA,01488169000103-1-000002/2024,10,1,NA,66.7636,3,Demais,153744,1,1,Informado,NA,PJ,NA,1.844928e+05,1.2000
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-10-23T14:03:50,NA,NA,2024-10-23T14:01:40,2024-10-11,https://pncp.gov.br/api/pncp/v1/orgaos/24859332000194/compras/2024/82/itens/5/resultados,FALSE,NA,NA,NA,NA,40455009000101,ALMEIDA FARMACEUTICA LTDA,24859332000194-1-000082/2024,5,1,NA,0.0000,1,ME,1080,1,2,Cancelado,NA,PJ,NA,0.000000e+00,0.0000
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-09-09T14:18:57,NA,NA,2024-09-09T14:18:57,2024-07-02,https://pncp.gov.br/api/pncp/v1/orgaos/12998458000160/compras/2024/632/itens/1/resultados,FALSE,NA,NA,NA,NA,04274988000138,ATIVA COMERCIAL HOSPITALAR LTDA,12998458000160-1-000632/2024,1,NA,NA,0.0000,3,Demais,10000.00,1,1,Informado,NA,PJ,NA,1.200000e+03,0.1200
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-11-04T14:43:00,NA,NA,2024-11-04T14:43:00,2024-10-17,https://pncp.gov.br/api/pncp/v1/orgaos/12998458000160/compras/2024/864/itens/1/resultados,FALSE,NA,NA,NA,NA,43548244000116,DISTRIBUIDORA MAX PHARMA LTDA,12998458000160-1-000864/2024,1,1,NA,0.0000,1,ME,360,1,1,Informado,NA,PJ,NA,7.776000e+02,2.1600
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-11-07T16:13:42,NA,NA,2024-11-07T16:13:42,2024-11-07,https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/184/itens/10/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,47454600000193,GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA,29063294000182-1-000184/2024,10,1,NA,0.0000,1,ME,400,1,1,Informado,NA,PJ,NA,864.000,2.1600
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-12-02T15:05:56,NA,NA,2024-12-02T15:05:56,2024-12-02,https://pncp.gov.br/api/pncp/v1/orgaos/46374500000194/compras/2024/8251/itens/3/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,29349061000140,QUIRON PHARMA LTDA,46374500000194-1-008251/2024,3,NA,NA,0.0000,1,ME,3000,1,1,Informado,NA,PJ,NA,23700.00,7.9000
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-11-25T16:51:21,NA,NA,2024-11-25T16:51:21,2024-11-25,https://pncp.gov.br/api/pncp/v1/orgaos/88566872000162/compras/2024/613/itens/7/resultados,FALSE,NA,NA,NA,NA,49542190000168,"LICITAPHARMA DISTRIBUIDORA DE PRODUTOS VETERINÁRIOS, HOSPITALARES E MEDICAMENTOS LTDA.",88566872000162-1-000613/2024,7,1,NA,0.0000,1,ME,100.0,1,1,Informado,NA,PJ,NA,3855.000,38.5500
