data.numeroControlePNCP,data.srp
06137293000130-1-000073/2024,TRUE
01465988000127-1-000206/2024,TRUE
18278051000145-1-000214/2024,TRUE
76208867000107-1-000353/2024,TRUE
43465459000173-1-001525/2024,TRUE
45786159000111-1-000358/2024,TRUE
01612516000150-1-000351/2024,TRUE
07954480000179-1-012206/2024,TRUE
06190522000180-1-000014/2024,TRUE
27080530000143-1-002613/2024,TRUE
76235753000148-1-000139/2024,TRUE
46596318000188-1-000056/2024,TRUE
00394544000185-1-002333/2024,TRUE
18291377000102-1-000192/2024,FALSE
27080605000196-1-000380/2024,TRUE
46374500000194-1-008690/2024,FALSE
18348086000103-1-000065/2024,TRUE
52356268000245-1-000003/2025,TRUE
08761140000194-1-000070/2024,TRUE
58200015000183-1-000008/2025,TRUE
13128798001094-1-000125/2024,TRUE
07954480000179-1-012843/2024,TRUE
46151718000180-1-000432/2024,TRUE
16692121000181-1-000135/2024,FALSE
58200015000183-1-000682/2024,TRUE
08096083000176-1-000001/2025,FALSE
01618704000195-1-000160/2024,TRUE
78640489000153-1-000799/2024,FALSE
10221786000120-1-000077/2024,TRUE
78640489000153-1-000303/2024,FALSE
08919425000100-1-000014/2025,FALSE
08087561000181-1-000254/2024,TRUE
87482535000124-1-001265/2024,TRUE
05816630000152-1-007334/2024,TRUE
27165208000117-1-000002/2025,TRUE
87482535000124-1-001210/2024,TRUE
22980973000177-1-000141/2024,FALSE
01612516000150-1-000352/2024,TRUE
08700684000146-1-000009/2025,FALSE
10106227000170-1-000076/2024,TRUE
44723674000190-1-001660/2024,TRUE
00394502000144-1-010200/2024,TRUE
45351749000111-1-000217/2024,TRUE
18715391000196-1-000167/2024,FALSE
08095283000104-1-000221/2024,TRUE
27080605000196-1-000430/2024,TRUE
14814139000183-1-000202/2024,TRUE
75370148000117-1-000001/2025,TRUE
45279635000108-1-001291/2024,TRUE
16888315000157-1-000073/2024,FALSE
52356268000245-1-000004/2025,TRUE
96291141000180-1-007349/2024,FALSE
00394544000185-1-002415/2024,TRUE
04691691000178-1-000383/2024,TRUE
07954480000179-1-020932/2024,TRUE
46422408000152-1-000561/2024,TRUE
28645794000160-1-000085/2024,TRUE
67995027000132-1-000402/2024,TRUE
18428854000139-1-000121/2024,FALSE
75771279000106-1-000151/2024,TRUE
00394429019715-1-000106/2024,TRUE
67160481000173-1-000205/2024,FALSE
06232615000120-1-000071/2024,TRUE
13937032000160-1-000069/2025,FALSE
18132449000179-1-000111/2024,TRUE
46585964000140-1-000346/2024,TRUE
27165208000117-1-000003/2025,TRUE
45781176000166-1-001120/2024,TRUE
15126437000143-1-003307/2024,TRUE
78956513000168-1-000003/2025,TRUE
18303230000195-1-000001/2025,TRUE
11046759000121-1-000018/2024,TRUE
46435921000188-1-000323/2024,TRUE
01612634000168-1-000089/2024,FALSE
18593103000178-1-000914/2024,TRUE
76205640000108-1-000194/2024,FALSE
11899413000176-1-000106/2024,FALSE
45944428000120-1-000002/2025,TRUE
87612909000189-1-000004/2025,TRUE
02940523000143-1-000064/2024,TRUE
95440517000108-1-000415/2024,TRUE
01612634000168-1-000098/2024,FALSE
06554117000101-1-000042/2024,FALSE
03735788000172-1-000030/2024,FALSE
33781055000135-1-002489/2024,TRUE
46319000000150-1-000540/2024,FALSE
00394544000185-1-002565/2024,TRUE
07954480000179-1-021306/2024,TRUE
11388708000188-1-000011/2024,TRUE
07276220000191-1-000037/2024,FALSE
08349086000174-1-000049/2024,TRUE
12998458000160-1-001325/2024,TRUE
00394452000103-1-021723/2024,TRUE
46523239000147-1-000850/2024,FALSE
10713187000124-1-000206/2024,FALSE
10713187000124-1-000001/2025,TRUE
10713187000124-1-000003/2025,TRUE
08761140000194-1-000076/2024,TRUE
18025957000158-1-000094/2024,FALSE
12998458000160-1-001347/2024,TRUE
19110162000100-1-000176/2024,TRUE
08997611000168-1-000005/2025,FALSE
19110162000100-1-000157/2024,TRUE
78640489000153-1-000712/2024,FALSE
05802877000110-1-000027/2024,TRUE
00394452000103-1-022018/2024,TRUE
07954480000179-1-022011/2024,TRUE
11271018000144-1-000009/2024,TRUE
46177523000109-1-000008/2025,TRUE
45741659000137-1-000189/2024,TRUE
13864377000130-1-001802/2024,TRUE
13864377000130-1-001807/2024,TRUE
06135108000178-1-000004/2024,TRUE
08162687000173-1-000255/2024,TRUE
44847663000111-1-001003/2024,TRUE
46374500000194-1-011080/2024,FALSE
42498600000171-1-007998/2024,FALSE
18025957000158-1-000096/2024,FALSE
00394502000144-1-018011/2024,TRUE
04092714000128-1-000159/2024,TRUE
08597121000174-1-001298/2024,TRUE
08923971000115-1-000107/2024,FALSE
16819831000120-1-000066/2024,TRUE
04214401000103-1-000003/2025,TRUE
01611666000149-1-000049/2024,TRUE
27142058000126-1-000026/2025,TRUE
60453032000174-1-000308/2024,TRUE
11800731000138-1-000136/2024,TRUE
44763928000101-1-001471/2024,FALSE
42498600000171-1-006377/2024,TRUE
06190522000180-1-000007/2024,TRUE
77902914000172-1-001300/2024,FALSE
08162687000173-1-000256/2024,TRUE
42498600000171-1-006693/2024,TRUE
46374500000194-1-011208/2024,FALSE
46374500000194-1-011207/2024,FALSE
46374500000194-1-011206/2024,FALSE
46374500000194-1-011149/2024,FALSE
46374500000194-1-011178/2024,FALSE
10414835000141-1-000051/2024,TRUE
88496468000160-1-000001/2025,TRUE
87612800000141-1-000788/2024,FALSE
46374500000194-1-009045/2024,FALSE
00394544000185-1-002300/2024,TRUE
19110162000100-1-000227/2024,TRUE
46522967000134-1-000240/2024,TRUE
05505839000103-1-000002/2025,TRUE
87890992000158-1-000822/2024,TRUE
08761124000100-1-000948/2024,TRUE
15126437000143-1-003204/2024,TRUE
46181376000140-1-000002/2025,TRUE
46588950000180-1-001392/2024,TRUE
07954480000179-1-023224/2024,TRUE
76279967000116-1-000112/2024,TRUE
13864377000130-1-001717/2024,TRUE
12600146000157-1-000214/2024,TRUE
46374500000194-1-010442/2024,TRUE
01987787000190-1-000001/2025,TRUE
14109763000180-1-000003/2025,FALSE
12242350000143-1-000048/2024,TRUE
06184253000149-1-000003/2025,TRUE
10347466000111-1-000002/2025,FALSE
92465210000173-1-000186/2024,FALSE
08358723000179-1-000066/2024,TRUE
13937032000160-1-002180/2024,FALSE
14109763000180-1-000002/2025,FALSE
23773012000154-1-000119/2024,TRUE
08761140000194-1-000230/2024,TRUE
01613316000111-1-000005/2025,FALSE
01613316000111-1-000006/2025,FALSE
46374500000194-1-011085/2024,FALSE
17952508000192-1-000074/2024,TRUE
46373445000118-1-000561/2024,TRUE
46612032000149-1-000328/2024,TRUE
08829974000194-1-000002/2025,TRUE
15024037000127-1-000129/2024,TRUE
88000906000157-1-000364/2024,TRUE
08109444000171-1-000177/2024,TRUE
49556863000139-1-000002/2025,FALSE
84013408000198-1-000053/2024,TRUE
46374500000194-1-008917/2024,FALSE
63025530000104-1-002453/2024,TRUE
42498600000171-1-007326/2024,TRUE
46374500000194-1-010206/2024,TRUE
46596151000155-1-002317/2024,TRUE
06190522000180-1-000197/2024,TRUE
25053117000164-1-000081/2024,TRUE
08170540000125-1-000020/2024,FALSE
00394544000185-1-002192/2024,TRUE
05054861000176-1-001249/2024,TRUE
05054861000176-1-000665/2024,TRUE
05054861000176-1-000571/2024,TRUE
00394452000103-1-020735/2024,TRUE
76416866000140-1-000220/2024,TRUE
11348486000170-1-000001/2025,TRUE
