codigo_pdm,nome_pdm,codigo_br,nome_item
18036,Anagrelida Cloridrato,277649,"277649 - Anagrelida Cloridrato, Dosagem:0,5 MG"
17995,Trometamol,602613,"602613 - Trometamol, Composição:Sal Cetorolaco, Concentração:10 MG, Forma Farmacêutica:Granulado Orodispersível"
17995,Trometamol,486301,"486301 - Trometamol, Composição:Sal Fostensavir, Concentração:600 MG, Forma Farmacêutica:Liberação Prolongada"
17995,Trometamol,485261,"485261 - Trometamol, Composição:Sal Cetorolaco, Concentração:0,45%, Forma Farmacêutica:Solução Oftálmica"
17995,Trometamol,449187,"449187 - Trometamol, Composição:Fosfomicina, Concentração:3 G, Forma Farmacêutica:Granulado"
17995,Trometamol,436744,"436744 - Trometamol, Composição:Sal Cetorolaco, Concentração:20 MG/ML, Forma Farmacêutica:Solução Oral Gotas"
17995,Trometamol,420614,"420614 - Trometamol, Composição:Sal Cetorolaco, Concentração:0,4%, Forma Farmacêutica:Solução Oftálmica"
17995,Trometamol,385153,"385153 - Trometamol, Composição:Sal Cetorolaco, Concentração:10mg, Forma Farmacêutica:Sub-Lingual"
17995,Trometamol,306465,"306465 - Trometamol, Composição:Sal Cetorolaco, Concentração:30 Mg/Ml, Forma Farmacêutica:Solução Injetável"
17995,Trometamol,276393,"276393 - Trometamol, Composição:Sal Cetorolaco, Concentração:0,5%, Apresentação:Solução Oftálmica"
18047,Antitrombina Iii Humana,338558,"338558 - Antitrombina Iii Humana, Concentraçao:500 UI, Forma Farmacêutica:Pó Liófilo P/ Injetável, Característica Adicional:C/ Aplicador"
18047,Antitrombina Iii Humana,338557,"338557 - Antitrombina Iii Humana, Concentraçao:1.000 UI, Forma Farmacêutica:Pó Liófilo P/ Injetável, Característica Adicional:C/ Aplicador"
18059,Tetrofosmina,300789,"300789 - Tetrofosmina, Dosagem:0,23 MG, Forma Farmacêutica:Pó Liófilo P/ Injetável"
18062,Nomegestrol,278566,"278566 - Nomegestrol, Composição:Acetato, Concentração:5 MG"
18063,Sorbitol,371998,"371998 - Sorbitol, Concentração:30 MG/ML, Forma Farmacêutica:Solução Estéril P/ Irrigação"
18063,Sorbitol,365454,"365454 - Sorbitol, Composição:Sorbitol 70% + Lauril Sulfato De Sódio, Concentração:714 Mg + 7,70 MG/G, Forma Farmacêutica:Enema"
18076,Ácido Poliacrílico,390441,"390441 - Ácido Poliacrílico, Concentração:3 MG/G, Forma Farmacêutica:Gel Oftálmico"
18076,Ácido Poliacrílico,279338,"279338 - Ácido Poliacrílico, Concentração:2 MG/G, Apresentação:Gel Oftálmico"
18079,Loteprednol,279433,"279433 - Loteprednol, Composição:Sal Etabonato, Concentração:2 MG/ML, Apresentação:Suspensão Oftálmica"
18079,Loteprednol,279432,"279432 - Loteprednol, Composição:Sal Etabonato, Concentração:5 MG/ML, Apresentação:Suspensão Oftálmica"
18086,Desflurano,279766,"279766 - Desflurano, Apresentação:Líquido Inalante"
18092,Bosentana,280116,"280116 - Bosentana, Dosagem:62,5 MG"
18092,Bosentana,280115,"280115 - Bosentana, Dosagem:125 MG"
18093,Pentosano,280193,"280193 - Pentosano, Sal Químico:Polissulfato Sódico, Concentração:100 MG"
18095,Adefovir,280205,"280205 - Adefovir, Composição:Dipivoxil, Concentração:10 MG"
30421,Datopotamabe,637487,"637487 - Datopotamabe, Composição:Deruxtecana, Concentração:100 MG, Forma Farmacêutica:Pó Liofilo Injetável"
18094,Bortezomibe,608121,"608121 - Bortezomibe, Concentração:1,5 MG, Apresentação:Injetável"
18094,Bortezomibe,400486,"400486 - Bortezomibe, Concentração:1 MG, Forma Farmacêutica:Pó Liófilo P/ Injetável"
18094,Bortezomibe,280201,"280201 - Bortezomibe, Concentração:3,5 MG, Apresentação:Injetável"
18123,Solução Cardioplégica,459754,"459754 - Solução Cardioplégica, Tipo:Sanguínea, Manutenção-Reperfusão, Composição:4 Fr Cada, Componentes:1º Ác Cítrico, Glicose, Na3c6h5o7, Kcl, Mgso4, Composição 2º Frasco:2º Glutamato, Aspartato, Composição 3º Frasco:3º Nahco3, Concentração:132 Mg + 441 Mg + 396 Mg + 15-50 Meq + 8 MEQ, Concentração 1:30 Mmol + 30 Mmol + 8-15 MEQ, Características Adicionais:Manipulado"
18123,Solução Cardioplégica,459753,"459753 - Solução Cardioplégica, Tipo:Sanguínea, Indução, Composição:2 Fr Cada, Componentes:1º Ác Cítrico, Glicose, Na3c6h5o7, Kcl, Mgso4, Composição 2º Frasco:2º Glutamato, Aspartato, Composição 3º Frasco:3º Nahco3, Composição 4º Frasco:4º Papaverina, Concentração:132 Mg + 441 Mg + 396 Mg + 15-50 Meq + 8 MEQ, Concentração 1:30 Mmol + 30 Mmol + 8-15 Meq + 4 MG/ML, Características Adicionais:Manipulado"
